"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 05월 18일","969.10","962.83","969.79","959.98","1.40M","0.69%"
"2021년 05월 17일","962.50","968.02","973.35","958.64","1.46B","-0.44%"
"2021년 05월 14일","966.72","953.91","967.18","953.91","1.56B","1.57%"
"2021년 05월 13일","951.77","963.31","965.27","948.04","1.45B","-1.59%"
"2021년 05월 12일","967.10","978.27","979.99","958.57","1.97B","-1.18%"
"2021년 05월 11일","978.61","991.41","991.41","974.10","1.41B","-1.43%"
"2021년 05월 10일","992.80","979.38","993.06","979.38","1.32B","1.48%"
"2021년 05월 07일","978.30","970.96","981.04","970.96","1.27B","0.86%"
"2021년 05월 06일","969.99","966.62","971.65","961.16","1.14B","0.29%"
"2021년 05월 04일","967.20","961.32","967.68","944.15","1.55B","0.56%"
"2021년 05월 03일","961.81","982.97","986.20","961.30","1.46B","-2.20%"
"2021년 04월 30일","983.45","991.08","995.74","975.66","1.47B","-0.73%"
"2021년 04월 29일","990.69","999.01","1,004.57","983.73","1.93B","-0.76%"
"2021년 04월 28일","998.27","1,021.13","1,021.13","995.96","3.24B","-2.23%"
"2021년 04월 27일","1,021.01","1,030.29","1,031.95","1,019.81","3.41B","-0.88%"
"2021년 04월 26일","1,030.06","1,027.40","1,030.60","1,025.73","2.93B","0.32%"
"2021년 04월 23일","1,026.82","1,024.29","1,029.79","1,018.87","4.10B","0.11%"
"2021년 04월 22일","1,025.71","1,023.65","1,029.80","1,023.43","4.09B","0.34%"
"2021년 04월 21일","1,022.22","1,031.26","1,031.26","1,019.59","2.89B","-0.94%"
"2021년 04월 20일","1,031.88","1,029.18","1,031.90","1,025.48","1.77B","0.24%"
"2021년 04월 19일","1,029.46","1,022.06","1,032.64","1,020.58","2.01B","0.77%"
"2021년 04월 16일","1,021.62","1,015.71","1,022.36","1,014.40","2.07B","0.76%"
"2021년 04월 15일","1,013.90","1,014.34","1,014.72","1,008.80","2.62B","-0.05%"
"2021년 04월 14일","1,014.42","1,011.35","1,016.06","1,009.34","3.18B","0.40%"
